Type,Design section,D10xx,D11xx,D12xx,D14xx,D13xx,D20xx,D15xx L1,D15xx L2,D30xx K1,R K1,D30xx K2,R K2,D30xx MID,R MID
BET61,C,13ø32c150-D1000, , ,13ø20c140-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET61,C,13ø32c150-D1000, , ,13ø20c140-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET63,C,7ø32c150-D1000, , ,7ø20c145-D1402,7ø20c150-D1300,7ø12c150-D2000,61ø16c150-D1505,61ø16c150-D1505,18ø12c300c300-D3000,2,18ø12c300c300-D3000,2,12ø12c300c600-D3000,1
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET62,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
